,Real_Malicious,Real_Malicious,Real_Malicious,Real_Malicious,Real_Malicious,Real_Malicious,Real_Malicious,Real_Malicious,Synthetic_Malicious,Synthetic_Malicious,Synthetic_Malicious,Synthetic_Malicious,Synthetic_Malicious,Synthetic_Malicious,Synthetic_Malicious,Synthetic_Malicious
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Page,1396.0,4.141117478510028,53.043427125211494,0.0,1.0,1.0,1.0,1966.0,1396.0,4.332378223495702,8.735695999226085,0.0,1.0,2.0,3.0,99.0
Encrypt,1396.0,0.02148997134670487,0.14992304085404587,0.0,0.0,0.0,0.0,2.0,1396.0,0.09527220630372493,0.2936957640761536,0.0,0.0,0.0,0.0,1.0
ObjStm,1396.0,0.3638968481375358,3.0150328732251084,0.0,0.0,0.0,0.0,66.0,1396.0,1.1554441260744985,5.637894611014341,0.0,0.0,0.0,1.0,66.0
JS,1396.0,1.0021489971346704,1.3157424421974502,0.0,0.0,1.0,1.0,19.0,1396.0,1.5673352435530086,2.8242003958752044,0.0,0.0,1.0,2.0,19.0
JavaScript,1396.0,1.5322349570200573,1.5661173658244734,0.0,0.0,1.0,2.0,19.0,1396.0,1.8975644699140402,2.8489263171790182,0.0,0.0,1.0,2.0,19.0
AA,1396.0,0.0494269340974212,0.4412344540072393,0.0,0.0,0.0,0.0,10.0,1396.0,0.3968481375358166,1.4473176603276046,0.0,0.0,0.0,0.0,10.0
OpenAction,1396.0,0.5157593123209169,0.5305392503385378,0.0,0.0,1.0,1.0,4.0,1396.0,0.5085959885386819,0.6374775830692373,0.0,0.0,0.0,1.0,4.0
AcroForm,1396.0,0.21131805157593123,0.649599366350917,0.0,0.0,0.0,0.0,15.0,1396.0,0.5680515759312321,1.4254559982941541,0.0,0.0,0.0,1.0,15.0
JBIG2Decode,1396.0,0.0007163323782234957,0.02676438637860946,0.0,0.0,0.0,0.0,1.0,1396.0,0.0064469914040114614,0.08006259682458908,0.0,0.0,0.0,0.0,1.0
RichMedia,1396.0,0.02005730659025788,0.1402465709251135,0.0,0.0,0.0,0.0,1.0,1396.0,0.08954154727793696,0.28562615186815304,0.0,0.0,0.0,0.0,1.0
Launch,1396.0,0.012893982808022923,0.11285766183443281,0.0,0.0,0.0,0.0,1.0,1396.0,0.05659025787965616,0.2311408043110689,0.0,0.0,0.0,0.0,1.0
EmbeddedFile,1396.0,0.18982808022922637,1.21126598032055,0.0,0.0,0.0,0.0,9.0,1396.0,0.8631805157593123,2.52199890547531,0.0,0.0,0.0,0.0,9.0
XFA,1396.0,0.03796561604584527,0.1911816159740006,0.0,0.0,0.0,0.0,1.0,1396.0,0.16977077363896848,0.37556583513620034,0.0,0.0,0.0,0.0,1.0
obj,1396.0,43.325214899713465,606.5576567265849,1.0,9.0,15.0,24.0,22625.0,1396.0,69.93553008595988,99.79685530168726,0.0,23.0,45.0,72.0,734.0
stream,1396.0,9.68839541547278,50.01157896039311,0.0,2.0,3.0,7.0,1746.0,1396.0,22.724928366762178,41.74703107931769,0.0,3.0,6.0,23.0,244.0
xref,1396.0,1.0716332378223496,1.9129508958426527,0.0,1.0,1.0,1.0,33.0,1396.0,2.732091690544413,5.620099763924247,0.0,1.0,1.0,2.0,33.0
trailer,1396.0,1.2027220630372493,1.98590547157978,0.0,1.0,1.0,1.0,38.0,1396.0,2.791547277936963,5.641648775110504,0.0,1.0,1.0,2.0,38.0
startxref,1396.0,1.2478510028653296,1.9117151662077356,0.0,1.0,1.0,1.0,39.0,1396.0,2.6969914040114613,4.819823712469253,0.0,1.0,1.0,2.0,39.0
filesize_kb,1396.0,132.27423078214542,712.5709040216854,0.0234375,7.380859375,13.21240234375,58.1220703125,20029.728515625,1396.0,241.33075808605145,536.7124629553673,0.024352687577096077,24.95624913998698,54.50906016358121,221.12078117537737,3870.0386520251814
